30;PT. BANK MEGA, Tbk;Menara Bank Mega Lt.15, Jl. Kapten Tendean Kav. 12-14 A, Jakarta 12790;;
31;PT. BANK BNI SYARIAH;Gedung Tempo Pavilion 1, Jl. HR Rasuna Said Kav. 11, Jakarta;;
32;PT. BANK BUKOPIN, Tbk;Jl. MT. Haryono Kav. 50-51, Jakarta 12770;;
33;PT. BANK SYARIAH MANDIRI;Jl. M. H. Thamrin No. 5, Jakarta 10340;;
34;PT. BANK KEB HANA INDONESIA;Wisma Mulia Lt. 52, Suite 5201 Jl. Jend. Gatot Subroto No. 42, Jakarta 12170;;
35;PT. BANK MNC INTERNASIONAL, Tbk;Gedung MNC Financial Center, Lt. 6,7,8 Jl. Kebon Sirih Raya No. 27, Jakarta Pusat 10340;;
36;PT. BANK RAKYAT INDONESIA AGRONIAGA, Tbk;Plaza Great River Ind. Jl. HR. Rasuna Said Blk X2/1, Kuningan, Jakarta 12950;;
37;PT. BANK SBI INDONESIA;Graha Mandiri, Jl. Imam Bonjol No.61 Lt. 1, Jakarta Pusat 10310;;
38;PT. BANK MEGA SYARIAH;Gedung MMS, Jl. HR. Rasuna Said Kav. 19A, Jakarta;;
39;PT. BANK INDEX SELINDO;Plaza Permata Lt. 8 Jl. M. H. Thamrin No. 57 Jakarta Pusat;;
40;PT. BANK MAYORA;Gedung Mayora, Jl. Tomang Raya Kav. 21-23, Jakarta 11440;;
41;PT. BANK WINDU KENTJANA INTERNATIONAL, Tbk;Equity Tower Lt. 9, Sudirman Central Business District (SCBD) Jl. Jend. Sudirman, Kav 52-53;;
42;PT. BANK SUMITOMO MITSUI INDONESIA;Summitmas II, 10th Floor, Jl. Jend. Sudirman Kav. 61-62, Jakarta 12190;;
43;PT. BANK DBS INDONESIA;DBS Bank Tower, Lobby Level Lt 33-37 Ciputra World 1, Jl. Prof. Dr. Satrio Kav 3-5 Jakarta 12940;;
44;PT. BANK RESONA PERDANIA;Jl. Gatot Subroto Kav. 9-11, Jakarta;;
45;PT. BANK MIZUHO INDONESIA;Plaza BII Menara 2 Lt. 24, Jl. MH. Thamrin No. 51, Jakarta 10350;;
46;PT. BANK CAPITAL INDONESIA, Tbk;Sona Topaz Tower Lt. 12, Jl. Jend. Sudirman Kav. 26, Jakarta 12920;;
47;PT. BANK BNP PARIBAS INDONESIA;Menara BCA, Lt. 35 Jl. MH. Thamrin No. 1 Jakarta 10310;;
48;PT. BANK ANZ INDONESIA;ANZ Tower 8th Floor Jl. Jend. Sudirman Kav. 33A, Jakarta;;
49;PT. BANK WOORI INDONESIA *);Gedung BEJ Lt.16, Jl. Jend. Sudirman Kav. 52-53, Jakarta 12190;;
50;PT. BANK RABOBANK INTERNATIONAL INDONESIA;Plaza 89 Lt. 9, Jl. HR. Rasuna Said Kav. X-7 No. 6, Kuningan, Jakarta 12940;;
51;PT. BANK AGRIS, Tbk;Wisma GKBI Suites-UG01 Jl. Jendral Sudirman No. 29, Jakarta;;
52;PT. BANK MAYBANK SYARIAH INDONESIA;Sona Topas Tower Lt. 1-3, Jl. Jend. Sudirman Kav. 26, Jakarta 12920;;
53;PT. BANK CTBC INDONESIA;Wisma Tamara Lt. 16, Jl. Jend. Sudirman Kav. 24, Jakarta 12920;;
54;PT. BANK COMMONWEALTH;Wisma Metropolitan II Teli, Jl. Jend. Sudirman Kav.29-31, Jakarta 12920;;
55;PT. BANK TABUNGAN PENSIUNAN NASIONAL, Tbk;Menara Cyber 2 Lt.24 - 25 H.R Rasuna Said Blok X-5 no.13, Jakarta;;
56;PT. BANK VICTORIA SYARIAH;Gedung The Victoria, Jalan Tomang Raya Kav.3, Jakarta Barat;;
57;PT. BANK BRI SYARIAH;Jl. Abdul Muis No. 2-4, Jakarta Pusat;;
58;PT. BANK JABAR BANTEN SYARIAH;Jl. Braga No. 135 Bandung;;
59;PT. BANK BISNIS INTERNASIONAL;Jl. Ir. H. Djuanda No. 137, Bandung;;
60;PT. BANK ANDARA;Plaza Bapindo, Citi Tower Lt. 28 Jl. Jendral Sudirman Kav. 54- 55, Jakarta Selatan 12190;;
61;PT. BANK JASA JAKARTA;Jl. Tiang Bendera III No. 26-28-30, Jakarta 11230;;
62;PT. BANK YUDHA BHAKTI, Tbk;Gedung Primagraha Persada Jl. Gedung Kesenian No. 3-7, Jakarta Pusat 10710;;
63;PT. BANK MITRANIAGA, Tbk;Jl. S. Parman Kav. 77 Slipi Lt. Dsr & Lt. 2, Jakarta 11410;;
64;PT. BANK ROYAL INDONESIA;Jl. Suryopranoto No. 52, Jakarta 10130;;
65;PT. BANK NATIONALNOBU, Tbk;Plaza Semanggi Lt. UG, Jl. Jendral Sudirman Kav. 50 Jakarta;;
66;PT. BPD JAWA TENGAH;Gedung Grinatha Jl. Pemuda No. 142, Semarang, Jawa Tengah 50132;;
67;PT. BPD JAWA TIMUR, Tbk;Jl. Basuki Rakhmat No. 98-104, Surabaya;;
68;PT. BPD JAMBI;Jl. Jend. A. Yani No. 18, Telanaipura, Jambi;;
69;PT. BANK ACEH;Jl. Teuku. H. M. Daud Beureueh No. 24, Banda Aceh;;
70;PT. BPD SUMATERA UTARA;Jl. Imam Bonjol No. 18, Medan 20152;;
71;PT. BPD SUMATERA BARAT;Jl. Pemuda No. 21, Padang 25117;;
72;PT. BPD RIAU KEPRI;Jl. Jend. Sudirman No. 377, Pekanbaru 28116;;
73;PT. BPD SUMATERA SELATAN DAN BANGKA BELITUNG;Jl. Gubernur H. Ahmad Bastari No. 07 Kel. Silaberanti Kec. Seberang Ulu I Jakabaring Palembang;;
74;PT. BPD LAMPUNG;Jl. Wolter Monginsidi No. 182, Teluk Betung, Bandar Lampung 35215;;
75;PT. BPD KALIMANTAN SELATAN;Jl. Lambung Mangkurat No. 7, Banjarmasin 70111;;
76;PT. BPD KALIMANTAN BARAT;Jl. Rahadi Oesman No. 10, Pontianak 78117;;
77;PD. BPD KALIMANTAN TIMUR;Jl. Jend. Sudirman No. 33, Samarinda;;
78;PT. BPD KALIMANTAN TENGAH;Jl. R. T. A. Milono No. 12, Palangka Raya 73111;;
79;PT. BPD SULAWESI SELATAN DAN SULAWESI BARAT;Jl. Dr. Sam Ratulangi No. 16, Makassar 90125;;
80;PT. BPD SULAWESI UTARA;Jl. Sam Ratulangi No. 9, Manado 95111;;
81;PT. BPD NUSA TENGGARA BARAT;Jl. Pejanggik No. 30, Mataram;;
82;PT. BPD BALI;Jl. Raya Puputan Niti Mandala, Renon, Denpasar;;
83;PT. BPD NUSA TENGGARA TIMUR;Jl. W.J. Lalamentik No. 102, Kupang, Nusa Tenggara Timur, 85000;;
84;PT. BPD MALUKU;Jl. Raya Pattimura 9, Ambon 97124;;
85;PT. BPD PAPUA;Jl. Ahmad Yani 5-7, Jayapura 99111, Kotak Pos 1536;;
86;PT. BPD BENGKULU;Jl. Basuki Rachmat 6, Bengkulu;;
87;PT. BPD SULAWESI TENGAH;Jl. Emmy Saelan Komp Mall Tatura Palu Kav. 36, Palu;;
